date,currency,value_brl,prev_value,pct_change_day
2024-02-20,EUR,5.3474,,
2024-02-21,EUR,5.3282,5.3474,-0.35905299771852306
2024-02-22,EUR,5.3432,5.3282,0.2815209639277949
2024-02-23,EUR,5.3979,5.3432,1.0237310974696712
2024-02-26,EUR,5.4064,5.3979,0.15746864521386517
2024-02-27,EUR,5.3779,5.4064,-0.5271530038472805
2024-02-28,EUR,5.369,5.3779,-0.16549210658436397
2024-02-29,EUR,5.3939,5.369,0.4637735146209909
2024-03-01,EUR,5.3747,5.3939,-0.3559576558705313
2024-03-04,EUR,5.3755,5.3747,0.014884551695915071
2024-03-05,EUR,5.3813,5.3755,0.10789693981956283
2024-03-06,EUR,5.3873,5.3813,0.11149722186087896
2024-03-07,EUR,5.3965,5.3873,0.17077200081674349
2024-03-08,EUR,5.4537,5.3965,1.0599462614657718
2024-03-11,EUR,5.4401,5.4537,-0.24937198599116472
2024-03-12,EUR,5.4396,5.4401,-0.00919100751823887
2024-03-13,EUR,5.4504,5.4396,0.19854401058900795
2024-03-14,EUR,5.4187,5.4504,-0.5816086892705075
2024-03-15,EUR,5.4376,5.4187,0.3487921457175913
2024-03-18,EUR,5.457,5.4376,0.3567750478152165
2024-03-19,EUR,5.4687,5.457,0.2144035184167281
2024-03-20,EUR,5.441,5.4687,-0.5065189167443918
2024-03-21,EUR,5.4105,5.441,-0.5605587208233787
2024-03-22,EUR,5.3979,5.4105,-0.2328805101192155
2024-03-25,EUR,5.4043,5.3979,0.11856462698456305
2024-03-26,EUR,5.4009,5.4043,-0.06291286568103072
2024-03-27,EUR,5.3954,5.4009,-0.10183487937195368
2024-03-28,EUR,5.3979,5.3954,0.04633576750563417
2024-04-01,EUR,5.4236,5.3979,0.4761110802349089
2024-04-02,EUR,5.4368,5.4236,0.24338078029351173
2024-04-03,EUR,5.4929,5.4368,1.0318569746909922
2024-04-04,EUR,5.4593,5.4929,-0.6116987383713468
2024-04-05,EUR,5.4774,5.4593,0.331544337186096
2024-04-08,EUR,5.4727,5.4774,-0.08580713477198687
2024-04-09,EUR,5.4367,5.4727,-0.6578105870959416
2024-04-10,EUR,5.4397,5.4367,0.05518053230819664
2024-04-11,EUR,5.444,5.4397,0.0790484769380706
2024-04-12,EUR,5.4698,5.444,0.47391623806025684
2024-04-15,EUR,5.5078,5.4698,0.6947237558960095
2024-04-16,EUR,5.5951,5.5078,1.5850248738153327
2024-04-17,EUR,5.5853,5.5951,-0.17515325910172352
2024-04-18,EUR,5.5983,5.5853,0.23275383596226273
2024-04-19,EUR,5.5708,5.5983,-0.49122054909526147
2024-04-22,EUR,5.541,5.5708,-0.5349321461908474
2024-04-23,EUR,5.5224,5.541,-0.3356794802382268
2024-04-24,EUR,5.5142,5.5224,-0.14848616543532422
2024-04-25,EUR,5.541,5.5142,0.48601791737696853
2024-04-26,EUR,5.4711,5.541,-1.2615051434759161
2024-04-29,EUR,5.4828,5.4711,0.21385096232933165
2024-04-30,EUR,5.5261,5.4828,0.7897424673524389
2024-05-02,EUR,5.4803,5.5261,-0.8287942672047133
2024-05-03,EUR,5.4569,5.4803,-0.4269839242377227
2024-05-06,EUR,5.4689,5.4569,0.21990507430957873
2024-05-07,EUR,5.4502,5.4689,-0.34193347839601707
2024-05-08,EUR,5.4739,5.4502,0.43484642765403425
2024-05-09,EUR,5.5554,5.4739,1.4888836113191584
2024-05-10,EUR,5.5447,5.5554,-0.19260539295100632
2024-05-13,EUR,5.551,5.5447,0.1136220174220437
2024-05-14,EUR,5.5562,5.551,0.09367681498828606
2024-05-15,EUR,5.5856,5.5562,0.5291386199200998
2024-05-16,EUR,5.5761,5.5856,-0.17008020624462716
2024-05-17,EUR,5.5613,5.5761,-0.2654184824518957
2024-05-20,EUR,5.5489,5.5613,-0.22296944958912768
2024-05-21,EUR,5.5406,5.5489,-0.14957919587664792
2024-05-22,EUR,5.5818,5.5406,0.7436017759809399
2024-05-23,EUR,5.5702,5.5818,-0.2078182665090189
2024-05-24,EUR,5.5902,5.5702,0.35905353488205893
2024-05-27,EUR,5.6161,5.5902,0.4633107938893044
2024-05-28,EUR,5.6078,5.6161,-0.14778939121454782
2024-05-29,EUR,5.6187,5.6078,0.1943721245408092
2024-05-31,EUR,5.6856,5.6187,1.1906668802392106
2024-06-03,EUR,5.705,5.6856,0.3412128887012811
2024-06-04,EUR,5.7323,5.705,0.4785276073619782
2024-06-05,EUR,5.7406,5.7323,0.1447935383702692
2024-06-06,EUR,5.7338,5.7406,-0.11845451694945108
2024-06-07,EUR,5.7074,5.7338,-0.46042763961072763
2024-06-10,EUR,5.7702,5.7074,1.1003258927007042
2024-06-11,EUR,5.7458,5.7702,-0.42286229246819573
2024-06-12,EUR,5.8439,5.7458,1.7073340526993608
2024-06-13,EUR,5.8054,5.8439,-0.6588066188675357
2024-06-14,EUR,5.7389,5.8054,-1.1454852378819602
2024-06-17,EUR,5.8049,5.7389,1.1500461760964642
2024-06-18,EUR,5.8075,5.8049,0.04478974659338775
2024-06-19,EUR,5.8751,5.8075,1.1640120533792375
2024-06-20,EUR,5.809,5.8751,-1.1250872325577421
2024-06-21,EUR,5.8198,5.809,0.1859184024789018
2024-06-24,EUR,5.7931,5.8198,-0.4587786521873638
2024-06-25,EUR,5.8117,5.7931,0.3210716196854868
2024-06-26,EUR,5.8866,5.8117,1.2887795309461936
2024-06-27,EUR,5.9145,5.8866,0.4739578024666402
2024-06-28,EUR,5.9547,5.9145,0.6796855186406159
2024-07-01,EUR,5.9968,5.9547,0.707004551026924
2024-07-02,EUR,6.086,5.9968,1.4874599786552922
2024-07-03,EUR,6.0326,6.086,-0.8774235951363729
2024-07-04,EUR,5.9297,6.0326,-1.705732188442799
2024-07-05,EUR,5.9533,5.9297,0.39799652596250734
2024-07-08,EUR,5.93,5.9533,-0.3913795709942325
2024-07-09,EUR,5.882,5.93,-0.8094435075885364
2024-07-10,EUR,5.8419,5.882,-0.6817409044542644
2024-07-11,EUR,5.8818,5.8419,0.6829969701638294
2024-07-12,EUR,5.9448,5.8818,1.0711006834642323
2024-07-15,EUR,5.955,5.9448,0.17157852240614613
2024-07-16,EUR,5.9088,5.955,-0.7758186397984868
2024-07-17,EUR,5.9776,5.9088,1.1643650148930318
2024-07-18,EUR,6.0492,5.9776,1.1978051391863032
2024-07-19,EUR,6.0486,6.0492,-0.009918666931152398
2024-07-22,EUR,6.0502,6.0486,0.026452402208776427
2024-07-23,EUR,6.0584,6.0502,0.1355327096624892
2024-07-24,EUR,6.1164,6.0584,0.9573484748448324
2024-07-25,EUR,6.1264,6.1164,0.16349486626121568
2024-07-26,EUR,6.1321,6.1264,0.09303995821363653
2024-07-29,EUR,6.1116,6.1321,-0.33430635508227
2024-07-30,EUR,6.1111,6.1116,-0.008181163688714133
2024-07-31,EUR,6.1287,6.1111,0.28800052363731066
2024-08-01,EUR,6.1153,6.1287,-0.21864343172287581
2024-08-02,EUR,6.2609,6.1153,2.3809134466011406
2024-08-05,EUR,6.3163,6.2609,0.884856809723833
2024-08-06,EUR,6.1762,6.3163,-2.2180707059512694
2024-08-07,EUR,6.1282,6.1762,-0.7771769048929733
2024-08-08,EUR,6.1306,6.1282,0.03916321268888634
2024-08-09,EUR,6.0208,6.1306,-1.7910155612827383
2024-08-12,EUR,6.0007,6.0208,-0.3338426787137916
2024-08-13,EUR,6.011,6.0007,0.17164664122519824
2024-08-14,EUR,6.0083,6.011,-0.04491765097321965
2024-08-15,EUR,6.004,6.0083,-0.07156766473046527
2024-08-16,EUR,6.0073,6.004,0.05496335776149497
2024-08-19,EUR,6.004,6.0073,-0.05493316464968423
2024-08-20,EUR,6.0585,6.004,0.9077281812125415
2024-08-21,EUR,6.096,6.0585,0.6189650903688948
2024-08-22,EUR,6.1704,6.096,1.2204724409448753
2024-08-23,EUR,6.1762,6.1704,0.09399714767275302
2024-08-26,EUR,6.1314,6.1762,-0.7253651112334336
2024-08-27,EUR,6.1351,6.1314,0.06034510878429877
2024-08-28,EUR,6.1549,6.1351,0.3227331257844135
2024-08-29,EUR,6.2478,6.1549,1.5093665209832796
2024-08-30,EUR,6.2563,6.2478,0.1360478888568828
2024-09-02,EUR,6.2241,6.2563,-0.5146812013490432
2024-09-03,EUR,6.2088,6.2241,-0.24581867257916779
2024-09-04,EUR,6.2451,6.2088,0.584654039427912
2024-09-05,EUR,6.2192,6.2451,-0.4147251445132949
2024-09-06,EUR,6.1751,6.2192,-0.7090944172884028
2024-09-09,EUR,6.1942,6.1751,0.3093067318747922
2024-09-10,EUR,6.2026,6.1942,0.1356107326208278
2024-09-11,EUR,6.2099,6.2026,0.11769258053073717
2024-09-12,EUR,6.2441,6.2099,0.5507335061756269
2024-09-13,EUR,6.1768,6.2441,-1.07781745968194
2024-09-16,EUR,6.1407,6.1768,-0.5844450200751194
